4.139204508280738271e-01,3.827763496143958277e-01,8.076056338028168025e-01,3.572929292929293288e-01,5.961652892561983830e-01,3.666666666666666963e-01,4.197771587743731603e-01,2.928384279475982899e-01,2.473820998001418636e-01
1.051939441786214346e-01,4.269922879177377451e-01,8.954929577464791901e-01,2.477171717171717524e-01,1.395702479338843116e-01,3.285714285714286254e-01,3.796657381615599069e-01,2.271615720524017279e-01,1.076066984720520925e-01
1.224140412706582193e-01,5.699228791773778280e-01,8.661971830985917276e-01,5.648080808080808701e-01,1.926942148760330542e-01,1.761904761904762029e-01,2.938718662952645722e-01,1.132751091703056712e-01,1.029599961317774481e-01
1.597957839549520864e-01,3.724935732647814968e-01,6.949295774647887836e-01,1.759595959595959824e-01,2.337851239669421766e-01,3.412698412698412787e-01,4.164345403899721298e-01,3.137991266375546040e-01,1.648966862226806940e-01
2.237561445825173578e-01,3.694087403598971808e-01,8.887323943661973313e-01,4.574949494949495654e-01,2.957024793388429718e-01,5.444444444444443976e-01,3.930362116991643062e-01,3.078602620087336206e-01,2.617456966024112042e-01
1.114486602956378386e-01,2.686375321336760824e-01,8.121126760563381897e-01,4.381010101010101576e-01,1.682975206611570518e-01,2.650793650793650258e-01,3.919220055710305739e-01,1.915283842794759939e-01,1.159245857778350847e-01
2.483021978740944102e-01,5.318766066838045425e-01,8.233802816901409916e-01,6.213737373737373559e-01,2.695537190082644696e-01,2.523809523809523725e-01,3.128133704735375775e-01,1.475109170305676787e-01,1.307007929856231210e-01
1.120087060065338702e-01,3.251928020565552080e-01,9.000000000000001332e-01,2.923232323232323182e-01,1.819173553719008463e-01,2.015873015873015650e-01,3.384401114206127548e-01,1.223580786026200740e-01,1.079798215782347970e-01
1.124623255854527715e-01,3.118251928020565611e-01,9.000000000000001332e-01,1.853333333333333499e-01,1.692231404958677854e-01,6.460317460317461791e-01,5.757660167130917994e-01,5.496069868995633323e-01,1.454516149829153671e-01
2.152001814478315678e-01,3.488431876606683524e-01,5.484507042253521369e-01,3.336969696969697141e-01,3.154049586776859759e-01,6.206349206349207615e-01,5.947075208913648048e-01,5.373799126637555101e-01,2.635605376829347479e-01
4.787252417487035672e-01,2.254498714652956037e-01,8.121126760563381897e-01,2.554747474747475211e-01,4.043966942148761179e-01,4.682539682539683668e-01,3.841225626740946697e-01,2.600000000000000089e-01,8.095287215524467062e-01
1.354067528253084796e-01,3.200514138817480148e-01,7.873239436619716702e-01,4.335757575757576143e-01,1.986446280991735480e-01,2.015873015873015650e-01,3.640668523676879320e-01,1.370305676855895216e-01,1.121994076784217642e-01
